DEPT	AC	GR	SP	DEN	por	per	sw
2510.75	112.392	49.755	-202.395	2.144	11.2392	4.9755	4.9755
2510.875	108.676	48.677	-202.378	2.144	10.8676	4.8677	4.8677
2511	105.037	50.07	-202.294	2.16	10.5037	5.007	5.007
2511.125	100.919	48.286	-202.264	2.19	10.0919	4.8286	4.8286
2511.25	102.806	48.065	-202.367	2.215	10.2806	4.8065	4.8065
2511.375	92.755	45.852	-202.801	2.229	9.2755	4.5852	4.5852
2511.5	87.88	41.682	-202.938	2.222	8.788	4.1682	4.1682
2511.625	84.554	40.193	-202.664	2.242	8.4554	4.0193	4.0193
2511.75	79.088	37.859	-201.991	2.309	7.9088	3.7859	3.7859
2511.875	71.66	37.915	-200.959	2.406	7.166	3.7915	3.7915
2512	82.531	38.029	-198.754	2.492	8.2531	3.8029	3.8029
2512.125	76.314	38.798	-196.889	2.478	7.6314	3.8798	3.8798
2512.25	76.05	41.066	-194.469	2.423	7.605	4.1066	4.1066
2512.375	80.802	43.419	-191.758	2.36	8.0802	4.3419	4.3419
2512.5	83.664	45.929	-188.901	2.312	8.3664	4.5929	4.5929
2512.625	85.51	46.602	-184.594	2.296	8.551	4.6602	4.6602
2512.75	86.771	46.46	-182.72	2.267	8.6771	4.646	4.646
2512.875	87.34	45.751	-182.175	2.245	8.734	4.5751	4.5751
2513	87.479	44.171	-182.256	2.236	8.7479	4.4171	4.4171
2513.125	87.438	44.929	-182.377	2.238	8.7438	4.4929	4.4929
2513.25	87.333	46.421	-182.188	2.245	8.7333	4.6421	4.6421
2513.375	86.43	48.031	-182.188	2.259	8.643	4.8031	4.8031
2513.5	85.738	48.568	-182.495	2.258	8.5738	4.8568	4.8568
2513.625	85.918	47.309	-182.429	2.258	8.5918	4.7309	4.7309
2513.75	86.437	44.755	-182.143	2.254	8.6437	4.4755	4.4755
2513.875	86.83	44.866	-182.028	2.246	8.683	4.4866	4.4866
2514	87.486	44.9	-182.489	2.253	8.7486	4.49	4.49
2514.125	87.099	45.464	-183.251	2.258	8.7099	4.5464	4.5464
2514.25	86.345	45.643	-183.787	2.271	8.6345	4.5643	4.5643
2514.375	84.8	44.014	-183.862	2.29	8.48	4.4014	4.4014
2514.5	83.245	42.797	-183.474	2.309	8.3245	4.2797	4.2797
2514.625	82.996	43.184	-182.917	2.326	8.2996	4.3184	4.3184
2514.75	83.447	42.998	-183.327	2.327	8.3447	4.2998	4.2998
2514.875	83.21	42.558	-183.873	2.312	8.321	4.2558	4.2558
2515	83.781	41.766	-184.982	2.301	8.3781	4.1766	4.1766
2515.125	84.259	39.184	-186.115	2.292	8.4259	3.9184	3.9184
2515.25	83.989	39.215	-186.483	2.284	8.3989	3.9215	3.9215
2515.375	83.501	39.008	-185.316	2.286	8.3501	3.9008	3.9008
2515.5	83.665	39.214	-186.239	2.275	8.3665	3.9214	3.9214
2515.625	83.313	39.16	-186.639	2.264	8.3313	3.916	3.916
2515.75	82.868	38.213	-186.198	2.258	8.2868	3.8213	3.8213
2515.875	83.199	39.178	-185.402	2.26	8.3199	3.9178	3.9178
2516	84.478	39.009	-185.013	2.265	8.4478	3.9009	3.9009
2516.125	82.755	39.246	-185.116	2.253	8.2755	3.9246	3.9246
2516.25	86.595	39.826	-183.912	2.24	8.6595	3.9826	3.9826
2516.375	86.674	40.465	-182.153	2.236	8.6674	4.0465	4.0465
2516.5	85.603	40.916	-182.07	2.24	8.5603	4.0916	4.0916
2516.625	85.326	41.113	-183.845	2.249	8.5326	4.1113	4.1113
2516.75	84.846	43.492	-184.93	2.258	8.4846	4.3492	4.3492
2516.875	84.723	45.054	-184.673	2.265	8.4723	4.5054	4.5054
2517	84.667	47.155	-183.917	2.272	8.4667	4.7155	4.7155
2517.125	84.552	50.741	-183.471	2.28	8.4552	5.0741	5.0741
2517.25	84.249	49.371	-183.625	2.287	8.4249	4.9371	4.9371
2517.375	83.774	51.73	-184.292	2.294	8.3774	5.173	5.173
2517.5	83.61	49.901	-184.958	2.295	8.361	4.9901	4.9901
2517.625	84.138	47.556	-186.683	2.295	8.4138	4.7556	4.7556
2517.75	84.89	46.536	-187.888	2.289	8.489	4.6536	4.6536
2517.875	85.608	45.878	-188.734	2.278	8.5608	4.5878	4.5878
2518	86.382	46.628	-189.409	2.263	8.6382	4.6628	4.6628
2518.125	87.468	46.1	-190.001	2.249	8.7468	4.61	4.61
2518.25	86.934	45.415	-191.078	2.242	8.6934	4.5415	4.5415
2518.375	86.401	44.529	-192.154	2.24	8.6401	4.4529	4.4529
2518.5	86.149	43.409	-192.212	2.243	8.6149	4.3409	4.3409
2518.625	85.602	42.941	-191.297	2.252	8.5602	4.2941	4.2941
2518.75	83.991	42.699	-190.21	2.27	8.3991	4.2699	4.2699
2518.875	80.709	43.568	-190.671	2.285	8.0709	4.3568	4.3568
2519	74.187	43.07	-190.984	2.326	7.4187	4.307	4.307
2519.125	67.511	40.366	-191.483	2.393	6.7511	4.0366	4.0366
2519.25	62.641	36.398	-191.912	2.468	6.2641	3.6398	3.6398
2519.375	59.758	34.899	-192.328	2.531	5.9758	3.4899	3.4899
2519.5	58.427	36.748	-192.96	2.56	5.8427	3.6748	3.6748
2519.625	64.991	38.865	-193.216	2.536	6.4991	3.8865	3.8865
2519.75	69.13	39.957	-193.117	2.481	6.913	3.9957	3.9957
2519.875	74.506	39.858	-192.564	2.403	7.4506	3.9858	3.9858
2520	79.874	39.744	-191.993	2.329	7.9874	3.9744	3.9744
2520.125	83.759	43.117	-191.793	2.279	8.3759	4.3117	4.3117
2520.25	86.385	44.178	-191.998	2.254	8.6385	4.4178	4.4178
2520.375	87.092	43.571	-191.746	2.259	8.7092	4.3571	4.3571
2520.5	86.837	42.041	-190.458	2.259	8.6837	4.2041	4.2041
2520.625	87.192	40.605	-189.096	2.255	8.7192	4.0605	4.0605
2520.75	87.777	41.928	-187.641	2.248	8.7777	4.1928	4.1928
2520.875	87.45	43.502	-185.84	2.24	8.745	4.3502	4.3502
2521	87.45	44.134	-185.533	2.238	8.745	4.4134	4.4134
2521.125	87.34	44.812	-184.353	2.245	8.734	4.4812	4.4812
2521.25	87.272	46.152	-183.002	2.249	8.7272	4.6152	4.6152
2521.375	87.118	47.586	-182.344	2.253	8.7118	4.7586	4.7586
2521.5	86.9	45.629	-182.39	2.256	8.69	4.5629	4.5629
2521.625	86.9	46.074	-181.947	2.256	8.69	4.6074	4.6074
2521.75	86.9	46.953	-182.408	2.261	8.69	4.6953	4.6953
2521.875	87.163	48.499	-182.336	2.26	8.7163	4.8499	4.8499
2522	87.3	51.299	-182.847	2.257	8.73	5.1299	5.1299
2522.125	87.433	53.4	-183.779	2.256	8.7433	5.34	5.34
2522.25	87.727	53.112	-184.645	2.259	8.7727	5.3112	5.3112
2522.375	87.563	52.235	-186.081	2.261	8.7563	5.2235	5.2235
2522.5	87.436	50.129	-187.559	2.26	8.7436	5.0129	5.0129
2522.625	86.995	47.929	-188.757	2.26	8.6995	4.7929	4.7929
2522.75	85.862	48.567	-190.182	2.263	8.5862	4.8567	4.8567
2522.875	84.798	48.567	-191.527	2.267	8.4798	4.8567	4.8567
2523	85.527	48.326	-191.584	2.272	8.5527	4.8326	4.8326
2523.125	86.101	48.196	-190.712	2.28	8.6101	4.8196	4.8196
2523.25	85.996	49.028	-189.841	2.283	8.5996	4.9028	4.9028
2523.375	85.9	51.269	-189.063	2.282	8.59	5.1269	5.1269
2523.5	85.916	53.915	-188.485	2.277	8.5916	5.3915	5.3915
2523.625	85.943	55.233	-188.317	2.271	8.5943	5.5233	5.5233
2523.75	85.902	56.654	-189.086	2.277	8.5902	5.6654	5.6654
2523.875	84.963	56.537	-190.975	2.275	8.4963	5.6537	5.6537
2524	84.76	55.469	-190.601	2.278	8.476	5.5469	5.5469
2524.125	84.779	55.617	-189.16	2.281	8.4779	5.5617	5.5617
2524.25	84.871	53.462	-188.316	2.285	8.4871	5.3462	5.3462
2524.375	85.28	54.855	-189.427	2.29	8.528	5.4855	5.4855
2524.5	85.691	55.11	-190.965	2.287	8.5691	5.511	5.511
2524.625	86.838	54.682	-190.705	2.28	8.6838	5.4682	5.4682
2524.75	87.378	54.191	-190.598	2.274	8.7378	5.4191	5.4191
2524.875	87.74	51.726	-190.452	2.272	8.774	5.1726	5.1726
2525	88.106	52.502	-189.949	2.274	8.8106	5.2502	5.2502
2525.125	87.121	53.132	-189.693	2.273	8.7121	5.3132	5.3132
2525.25	87.542	54.13	-190.339	2.272	8.7542	5.413	5.413
2525.375	87.12	54.224	-191.005	2.27	8.712	5.4224	5.4224
2525.5	86.733	52.058	-191.838	2.277	8.6733	5.2058	5.2058
2525.625	86.425	53.839	-192.993	2.287	8.6425	5.3839	5.3839
2525.75	85.925	52.569	-194.391	2.292	8.5925	5.2569	5.2569
2525.875	87.156	52.514	-194.545	2.287	8.7156	5.2514	5.2514
2526	87.336	52.902	-194.789	2.279	8.7336	5.2902	5.2902
2526.125	87.731	53.195	-195.692	2.273	8.7731	5.3195	5.3195
2526.25	87.886	54.78	-196.855	2.27	8.7886	5.478	5.478
2526.375	87.747	54.955	-197.573	2.265	8.7747	5.4955	5.4955
2526.5	88.391	52.194	-197.06	2.258	8.8391	5.2194	5.2194
2526.625	86.832	50.484	-196.496	2.257	8.6832	5.0484	5.0484
2526.75	84.369	50.745	-195.731	2.266	8.4369	5.0745	5.0745
2526.875	82.057	52.323	-195.695	2.286	8.2057	5.2323	5.2323
2527	80.492	55.779	-196.027	2.313	8.0492	5.5779	5.5779
